player_name,years_played,year_drafted,draft_pick_overall
Glenn Robinson III,8,2014,40
Jerome Robinson,3,2018,13
Mitchell Robinson,2,2018,36
Isaiah Roby,0,2019,45
Rajon Rondo,14,2006,21
Derrick Rose,13,2008,1
Terrence Ross,9,2012,8
Terry Rozier,5,2015,16
Ricky Rubio,9,2009,5
D'Angelo Russell,5,2015,2
Domantas Sabonis,4,2016,11
Luka Šamanić,1,2019,19
JaKarr Sampson,6,2014,61
Dario Šarić,5,2014,12
Tomáš Satoranský,4,2012,32
Dennis Schröder,7,2013,17
Mike Scott,0,N/A,N/A
Collin Sexton,2,2018,8
Landry Shamet,3,2018,26
Pascal Siakam,4,2016,27
Chris Silva,1,2019,61
Ben Simmons,3,2016,1
Anfernee Simons,2,2018,24
Deividas Sirvydis,0,2019,37
Marcus Smart,6,2014,6
Dennis Smith Jr.,5,2017,9
Ish Smith,14,2010,61
Jalen Smith,0,2020,10
Tony Snell,7,2013,20
Ray Spalding,2,2018,56
Cassius Stanley,0,2020,54
Lamar Stevens,0,2020,61
Isaiah Stewart,0,2020,16
Max Strus,1,2019,61
Edmond Sumner,3,2017,52
Jae'Sean Tate,0,2018,61
Jayson Tatum,3,2017,3
Jeff Teague,12,2009,19
Garrett Temple,15,2009,61
Tyrell Terry,0,2020,31
Daniel Theis,3,2013,61
Brodric Thomas,0,2020,61
Matt Thomas,0,N/A,N/A
Tristan Thompson,9,2011,4
Sindarius Thornwell,3,2017,48
Matisse Thybulle,1,2019,20
Obi Toppin,0,2020,8
Juan Toscano-Anderson,1,2015,61
Karl-Anthony Towns,5,2015,1
Gary Trent Jr.,2,2018,37
P.J. Tucker,10,2006,35
Myles Turner,5,2015,11
Jonas Valančiūnas,9,2011,5
Denzel Valentine,3,2016,14
Jarred Vanderbilt,3,2018,41
Fred VanVleet,4,2016,61
Devin Vassell,0,2020,11
Gabe Vincent,1,2018,61
Noah Vonleh,8,2014,9
Nikola Vučević,9,2011,16
Dean Wade,1,2019,61
Moritz Wagner,0,N/A,N/A
Kemba Walker,9,2011,9
Lonnie Walker,2,2018,18
John Wall,9,2010,1
Brad Wanamaker,2,2011,61
T.J. Warren,6,2014,14
Yuta Watanabe,2,2018,61
Tremont Waters,0,2019,51
Paul Watson,0,N/A,61
Quinndary Weatherspoon,0,2019,49
Russell Westbrook,12,2008,4
Coby White,1,2019,7
Derrick White,3,2017,29
Hassan Whiteside,8,2010,33
Andrew Wiggins,6,2014,1
Grant Williams,1,2019,22
Kenrich Williams,2,2018,61
Lou Williams,16,2005,45
Patrick Williams,0,2020,4
Robert Williams,2,2018,27
Zion Williamson,1,2019,1
D.J. Wilson,3,2017,17
Dylan Windler,0,2019,26
Cassius Winston,0,2020,53
James Wiseman,0,2020,2
Christian Wood,5,2015,61
Robert Woodard,0,N/A,61
Delon Wright,5,2015,20
Thaddeus Young,14,2007,12
Trae Young,2,2018,5
Cody Zeller,7,2013,4
Ivica Zubac,5,2016,32
